,Race ID,Driver ID,position,avg laptime
243,851.0,17.0,5.0,92172.55714285714
244,851.0,814.0,7.0,93524.95652173914
245,851.0,155.0,11.0,93933.28985507246
246,851.0,22.0,13.0,94460.2205882353
247,851.0,808.0,12.0,93963.66666666667
248,851.0,813.0,16.0,95157.9705882353
249,851.0,67.0,8.0,93538.46376811594
250,851.0,153.0,10.0,93649.37681159421
251,851.0,2.0,19.0,101949.78260869565
252,851.0,10.0,17.0,97245.13636363637
253,851.0,5.0,17.0,97977.03636363636
254,851.0,815.0,15.0,95034.11764705883
255,851.0,16.0,14.0,94995.01470588235
256,851.0,15.0,21.0,107424.88235294117
257,851.0,816.0,19.0,98767.32307692307
258,851.0,817.0,18.0,97841.37878787878
259,851.0,24.0,20.0,99069.4923076923
260,852.0,3.0,6.0,119399.25
261,852.0,20.0,1.0,118293.02272727272
262,852.0,13.0,8.0,119794.75
263,852.0,1.0,5.0,118291.08333333333
264,852.0,4.0,4.0,118588.97727272728
265,852.0,67.0,13.0,120538.83333333333
266,852.0,815.0,20.0,127245.03703703704
267,852.0,17.0,2.0,118378.04545454546
268,852.0,155.0,12.0,120383.38636363637
269,852.0,808.0,9.0,119927.5
