,Race ID,Driver ID,position,avg laptime,Avg Pit Time
2244,945,817,6.0,108639.72727272726,22033.5
2246,949,817,4.0,99599.82456140351,25350.33333333333
2247,950,817,4.0,106903.19642857145,23093.0
2248,951,817,12.0,107477.73076923077,39484.0
2249,952,817,4.0,93090.40909090909,22164.5
2250,953,817,2.0,92004.93589743588,30190.5
2251,954,817,7.0,78984.71428571429,23445.0
2252,955,817,7.0,110619.50980392157,19997.5
2253,956,817,5.0,74494.19718309859,20305.5
2254,957,817,4.0,110039.26923076923,30005.5
2255,958,817,3.0,86537.91428571429,22123.5
2256,959,817,2.0,81361.13432835821,18893.666666666668
2258,961,817,5.0,88554.41509433962,23689.0
2259,962,817,2.0,113925.21311475411,28099.5
2260,963,817,1.0,104156.71428571428,24302.5
2261,964,817,6.0,98816.49056603774,24428.5
2262,965,817,3.0,105576.96428571428,23745.0
2263,966,817,5.0,85243.0985915493,22265.0
2265,968,817,5.0,107078.6909090909,21926.0
2266,970,817,4.0,105396.30357142855,20234.5
2267,971,817,5.0,99521.40350877194,25256.0
2268,973,817,3.0,88368.43939393939,21864.5
2269,974,817,3.0,80616.47435897436,24183.0
2270,975,817,3.0,80292.15714285715,23309.0
2272,977,817,3.0,69218.80281690141,21713.0
2273,978,817,5.0,97125.19607843137,27910.0
2274,980,817,6.0,115763.88636363635,23040.0
2275,981,817,4.0,86276.35849056604,23951.0
2276,982,817,2.0,127725.01724137929,27655.4
2277,983,817,3.0,96853.73214285713,24199.0
2278,984,817,3.0,99261.75471698113,23796.0
2279,985,817,4.0,102939.85714285713,23604.0
2280,987,817,6.0,77957.08450704225,21372.0
2281,988,817,4.0,104707.3,23477.0
2282,989,817,8.0,92764.68965517242,21440.0
2283,991,817,1.0,102435.35714285713,22866.5
2284,992,817,5.0,115826.41025641025,19925.0
2285,993,817,5.0,87576.21212121213,21618.0
2286,994,817,1.0,79164.19230769231,24542.0
2287,995,817,4.0,78415.7205882353,23279.0
2288,996,817,4.0,102757.0,24309.0
2289,997,817,4.0,70269.1320754717,21604.5
2290,998,817,5.0,101140.07692307694,28097.5
2291,860,818,11.0,98093.3275862069,23386.0
2292,861,818,8.0,177478.5178571429,23779.5
2293,862,818,16.0,104262.23214285713,22996.33333333333
2294,863,818,14.0,101837.0701754386,22785.66666666667
2295,864,818,12.0,91632.32307692307,21164.33333333333
2296,865,818,12.0,83216.22077922078,26110.0
2297,866,818,15.0,80646.89855072464,20027.33333333333
2298,867,818,18.0,109122.15384615383,21303.0
2299,868,818,15.0,99319.25,26344.5
2300,869,818,14.0,82728.76119402985,19091.666666666668
2301,870,818,16.0,89830.66176470587,19866.25
2302,871,818,8.0,122895.34090909091,20868.5
2303,873,818,10.0,124485.81578947367,30198.5
2304,874,818,13.0,102356.35849056604,21979.5
2305,875,818,8.0,106513.45454545453,21026.5
2306,876,818,15.0,93760.05084745762,23377.5
2307,877,818,12.0,116246.7818181818,20102.0
2308,879,818,8.0,89455.05633802818,22925.25
2309,880,818,12.0,94604.86206896552,23640.66666666667
2310,881,818,10.0,107567.94642857145,30852.0
2311,882,818,12.0,104634.80357142855,20642.666666666668
2312,883,818,22.0,112151.0625,41485.0
2313,884,818,18.0,93385.42307692306,23886.25
2314,885,818,8.0,106401.01282051283,24827.0
2315,886,818,6.0,80399.59420289853,21319.5
2316,887,818,17.0,108945.05714285713,27867.5
2317,888,818,16.0,101866.27272727274,23147.0
2318,890,818,12.0,89844.91304347826,22927.66666666667
2319,891,818,12.0,116112.18181818182,24304.5
2320,893,818,14.0,119125.31147540985,30149.66666666667
2321,894,818,17.0,114220.49056603776,24112.66666666667
2322,895,818,12.0,100238.65384615383,24926.33333333333
2323,896,818,13.0,92808.61016949153,24180.0
2324,897,818,17.0,109692.92592592591,22769.0
2325,898,818,12.0,107887.89285714287,24381.0
2326,899,818,15.0,79827.25714285714,23696.33333333333
2327,900,818,9.0,98932.47368421053,23051.0
2328,901,818,19.0,116105.83333333331,36113.5
2329,902,818,20.0,109378.61111111114,29896.0
2330,903,818,12.0,106101.65454545453,24268.0
2331,904,818,15.0,95816.95833333331,22976.0
2332,905,818,13.0,87542.26,22414.5
2333,906,818,8.0,85440.8,24204.0
2334,907,818,13.0,76169.18644067796,22303.0
2335,908,818,10.0,172847.11764705885,30218.0
2336,909,818,13.0,85632.65151515152,22472.0
2337,910,818,9.0,97765.5,23466.0
2338,911,818,12.0,117010.81818181818,23386.5
2339,912,818,13.0,91006.2075471698,25046.0
